coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
9.130000e+01	146	116	135
9.140000e+01	113	131	122
9.150000e+01	139	113	129
9.160000e+01	113	136	123
9.170000e+01	138	116	129
9.180000e+01	113	140	117
9.190000e+01	142	116	129
92	113	141	119
9.210000e+01	144	114	133
9.220000e+01	113	138	117
9.230000e+01	143	114	125
9.240000e+01	113	139	116
9.250000e+01	139	117	131
9.260000e+01	113	146	121
9.270000e+01	148	114	129
9.280000e+01	113	124	123
9.290000e+01	152	116	125
93	113	132	118
9.310000e+01	156	114	128
9.320000e+01	113	136	121
9.330000e+01	146	114	138
9.340000e+01	113	136	123
9.350000e+01	134	120	127
9.360000e+01	113	132	117
9.370000e+01	146	116	131
9.380000e+01	113	143	121
9.390000e+01	149	114	132
94	113	132	120
9.410000e+01	151	114	126
9.420000e+01	113	140	123
9.430000e+01	144	117	133
9.440000e+01	113	135	122
9.450000e+01	145	117	125
9.460000e+01	113	142	117
9.470000e+01	133	116	134
9.480000e+01	113	144	121
9.490000e+01	146	115	133
95	113	141	120
9.510000e+01	150	115	133
9.520000e+01	113	132	124
9.530000e+01	149	114	127
9.540000e+01	113	143	118
9.550000e+01	149	114	126
9.560000e+01	113	135	120
9.570000e+01	149	113	124
9.580000e+01	113	134	121
9.590000e+01	148	114	121
96	113	140	120
9.610000e+01	142	115	124
9.620000e+01	113	138	120
9.630000e+01	144	116	130
9.640000e+01	113	140	121
9.650000e+01	138	116	131
9.660000e+01	113	137	118
9.670000e+01	139	113	122
9.680000e+01	113	142	120
9.690000e+01	157	115	125
97	113	143	121
9.710000e+01	136	116	135
9.720000e+01	113	137	123
9.730000e+01	148	115	130
9.740000e+01	113	141	119
9.750000e+01	150	118	121
9.760000e+01	113	143	120
9.770000e+01	154	115	121
9.780000e+01	113	133	119
9.790000e+01	149	114	126
98	113	146	118
9.810000e+01	147	115	125
9.820000e+01	113	145	121
9.830000e+01	149	115	127
9.840000e+01	113	151	123
9.850000e+01	140	113	127
9.860000e+01	113	149	124
9.870000e+01	130	115	124
9.880000e+01	113	142	120
9.890000e+01	145	116	128
99	113	133	124
9.910000e+01	155	114	125
9.920000e+01	113	144	122
9.930000e+01	139	115	125
9.940000e+01	113	138	120
9.950000e+01	148	117	124
9.960000e+01	113	137	121
9.970000e+01	143	117	130
9.980000e+01	113	133	121
9.990000e+01	137	116	131
100	113	139	120
